Name,Description,ABV,
All Aboard,American Light Lager,4.5
Strangers on a Train,Fruited Sour Ale,6.2
3rd Rail,West Coast IPA, 6.4
Have your Cake and Drink it too,Carrot Cake Pastry Ale,7.3
Switch Yard,Kentucky Common,5.7
The Express,Polish Piwo Grodziskie,3.5
Railway Detonator,Double Hazy IPA,8.5
Cookie Crossing,Cookies and Cream Pastry Stout (contains lactose),7.2
Eisenbahn,Dunkel,5.7
Hard Seltzer,Ask for today’s flavors!,5
