Name,Description
Berry Cream Caboose,"Strawberry and Ginger Syrups, Cream, and Soda Water"
Pomenito,"Pomegranate Syrup, Mint, Lime Juice"
Ritzer,"Raspberry Syrup, Soda Water, Lemon Juice"
Root Beer Float,"House Made Root Beer, Cinnamon Syrup, Heavy Cream Float"
